Thời Gian,Người Dùng,Hành Động,Phương Thức
2025-12-26 06:56:49,Admin_Web,BẬT FAN,Manual_Click
2025-12-26 06:56:50,Admin_Web,TẮT FAN,Manual_Click
2025-12-26 06:56:55,Admin_Web,BẬT FAN,Manual_Click
2025-12-26 06:57:06,Admin_Do,BẬT LIGHT,Gesture
2025-12-26 06:57:09,Admin_Do,TẮT FAN,Gesture
2025-12-26 06:57:09,Admin_Do,BẬT FAN,Gesture
2025-12-26 06:57:18,Admin_Do,TẮT FAN,Gesture
2025-12-26 06:57:21,Admin_Do,TẮT LIGHT,Gesture
2025-12-26 06:57:22,Admin_Do,BẬT FAN,Gesture
2025-12-26 06:57:26,Admin_Do,TẮT FAN,Gesture
2025-12-26 06:57:44,Admin_Do,BẬT FAN,Gesture
2025-12-26 06:57:53,Admin_Do,TẮT FAN,Gesture
2025-12-26 10:06:54,Admin_Do,BẬT FAN,Gesture
2025-12-26 10:07:01,Admin_Do,BẬT LIGHT,Gesture
2025-12-26 10:07:03,Admin_Do,TẮT LIGHT,Gesture
2025-12-26 10:07:04,Admin_Do,BẬT LIGHT,Gesture
2025-12-26 10:07:06,Admin_Do,TẮT LIGHT,Gesture
2025-12-26 10:07:08,Admin_Do,BẬT LIGHT,Gesture
2025-12-26 10:07:22,Admin_Do,TẮT FAN,Gesture
2025-12-26 10:07:24,Admin_Do,BẬT FAN,Gesture
2025-12-26 10:07:24,Admin_Do,TẮT FAN,Gesture
2025-12-26 10:07:25,Admin_Do,BẬT FAN,Gesture
2025-12-26 10:07:25,Admin_Do,TẮT FAN,Gesture
2025-12-26 10:07:43,Admin_Do,BẬT FAN,Gesture
2025-12-26 10:07:44,nguyenbangdo,TẮT FAN,Gesture
2025-12-26 10:07:47,Admin_Do,TẮT LIGHT,Gesture
2025-12-26 10:07:54,Admin_Do,BẬT FAN,Gesture
2025-12-26 10:08:12,Admin_Do,BẬT LIGHT,Gesture
2025-12-26 10:22:56,nguyenbangdo,BẬT Quạt Trần,Gesture
2025-12-26 10:23:03,nguyenbangdo,BẬT Đèn Chính,Gesture
2025-12-26 10:23:06,nguyenbangdo,TẮT Đèn Chính,Gesture
2025-12-26 10:23:07,nguyenbangdo,BẬT Đèn Chính,Gesture
2025-12-26 10:23:10,nguyenbangdo,TẮT Quạt Trần,Gesture
2025-12-26 10:23:11,nguyenbangdo,BẬT Quạt Trần,Gesture
2025-12-26 10:23:12,nguyenbangdo,TẮT Quạt Trần,Gesture
2025-12-26 10:23:13,nguyenbangdo,BẬT Quạt Trần,Gesture
2025-12-26 10:23:15,nguyenbangdo,TẮT Quạt Trần,Gesture
2025-12-26 10:23:40,nguyenbangdo,TẮT Đèn Chính,Gesture
2025-12-26 10:23:54,nguyenbangdo,BẬT Đèn Chính,Gesture
2025-12-26 10:24:15,nguyenbangdo,TẮT Đèn Chính,Gesture
2025-12-26 10:24:16,nguyenbangdo,BẬT Super TV,Gesture
2025-12-26 10:24:18,nguyenbangdo,BẬT Đèn Chính,Gesture
2025-12-26 10:24:26,nguyenbangdo,TẮT Đèn Chính,Gesture
2025-12-26 10:24:31,nguyenbangdo,BẬT Quạt Trần,Gesture
2025-12-26 10:24:32,nguyenbangdo,TẮT Super TV,Gesture
2025-12-26 10:25:10,nguyenbangdo,TẮT Quạt Trần,Gesture
2025-12-26 10:25:12,nguyenbangdo,BẬT Quạt Trần,Gesture
2025-12-26 10:25:14,nguyenbangdo,TẮT Quạt Trần,Gesture
2025-12-26 10:25:20,nguyenbangdo,BẬT Đèn Chính,Gesture
2025-12-26 10:25:22,nguyenbangdo,TẮT Đèn Chính,Gesture
2025-12-26 10:25:26,nguyenbangdo,BẬT Đèn Chính,Gesture
2025-12-26 10:25:31,nguyenbangdo,TẮT Đèn Chính,Gesture
2025-12-26 10:25:36,nguyenbangdo,BẬT Quạt Trần,Gesture
2025-12-26 10:25:39,nguyenbangdo,TẮT Quạt Trần,Gesture
2025-12-26 10:25:49,nguyenbangdo,BẬT Super TV,Gesture
2025-12-26 10:25:51,nguyenbangdo,BẬT Đèn Chính,Gesture
2025-12-26 10:25:59,nguyenbangdo,TẮT Đèn Chính,Gesture
2025-12-26 10:26:07,nguyenbangdo,BẬT Quạt Trần,Gesture
2025-12-26 10:26:07,nguyenbangdo,BẬT Đèn Chính,Gesture
2025-12-26 10:26:24,nguyenbangdo,TẮT Đèn Chính,Gesture
2025-12-26 10:26:29,nguyenbangdo,TẮT Quạt Trần,Gesture
2025-12-26 10:26:29,nguyenbangdo,BẬT Quạt Trần,Gesture
2025-12-26 10:26:29,nguyenbangdo,TẮT Quạt Trần,Gesture
2025-12-26 10:26:29,nguyenbangdo,BẬT Quạt Trần,Gesture
2025-12-26 10:26:30,nguyenbangdo,TẮT Quạt Trần,Gesture
2025-12-26 10:26:33,nguyenbangdo,BẬT Đèn Chính,Gesture
2025-12-26 10:27:14,nguyenbangdo,BẬT SuperTV,Gesture
2025-12-26 10:27:16,nguyenbangdo,TẮT Đèn Chính,Gesture
2025-12-26 10:27:16,nguyenbangdo,TẮT SuperTV,Gesture
2025-12-26 10:30:29,nguyenbangdo,BẬT SuperTV,Gesture
2025-12-26 10:30:38,nguyenbangdo,BẬT Đèn Chính,Gesture
2025-12-26 10:34:53,nguyenbangdo,BẬT Quạt Trần,Gesture
2025-12-26 10:34:57,nguyenbangdo,TẮT Quạt Trần,Gesture
2025-12-26 10:35:02,nguyenbangdo,TẮT Đèn Chính,Gesture
2025-12-26 10:35:02,nguyenbangdo,TẮT SuperTV,Gesture
2025-12-26 10:35:07,nguyenbangdo,BẬT Quạt Trần,Gesture
2025-12-26 10:35:22,nguyenbangdo,TẮT Quạt Trần,Gesture
2025-12-26 10:35:27,nguyenbangdo,BẬT Quạt Trần,Gesture
2025-12-26 10:36:09,nguyenbangdo,TẮT Quạt Trần,Gesture
2025-12-26 10:58:07,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 10:58:09,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 10:58:09,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 10:58:13,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 10:58:14,nguyenbangdo,BẬT Quạt Trần,Global_Gesture
2025-12-26 10:58:14,nguyenbangdo,TẮT Quạt Trần,Global_Gesture
2025-12-26 10:58:24,nguyenbangdo,BẬT SuperTV,Global_Gesture
2025-12-26 10:58:27,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 10:58:27,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:44:13,nguyenbangdo,BẬT Quạt Trần,Global_Gesture
2025-12-26 11:44:50,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:44:52,nguyenbangdo,BẬT Đèn Chính,Global_Gesture
2025-12-26 11:44:53,nguyenbangdo,TẮT Quạt Trần,Global_Gesture
2025-12-26 11:44:57,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:44:58,nguyenbangdo,TẮT Đèn Chính,Global_Gesture
2025-12-26 11:44:58,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:44:58,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:44:59,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:44:59,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:44:59,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:44:59,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:45:00,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:45:00,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:45:00,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:45:01,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:45:01,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:45:01,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:45:01,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:45:01,nguyenbangdo,BẬT SuperTV,Personal_Gesture
2025-12-26 11:45:02,nguyenbangdo,BẬT Đèn Chính,Global_Gesture
2025-12-26 11:45:04,nguyenbangdo,TẮT Đèn Chính,Global_Gesture
2025-12-26 11:45:04,nguyenbangdo,TẮT SuperTV,Global_Gesture
2025-12-26 11:45:05,nguyenbangdo,BẬT SuperTV,Personal_Gesture
